Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.01     95.80     0.01   861326     0.00     0.00  leveldb::MakeFileName(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, char const*)
  0.01     95.81     0.01    10308     0.00     0.00  std::_Rb_tree<unsigned long, unsigned long, std::_Identity<unsigned long>, std::less<unsigned long>, std::allocator<unsigned long> >::erase(unsigned long const&)
  0.01     95.82     0.01                             getFromLevelDB(int)
  0.01     95.83     0.01                             leveldb::Comparator::~Comparator()
  0.01     95.84     0.01                             leveldb::VersionSet::CompactRange(int, leveldb::InternalKey const*, leveldb::InternalKey const*)
  0.01     95.85     0.01                             leveldb::(anonymous namespace)::ShardedLRUCache::Prune()
  0.01     95.86     0.01                             leveldb::(anonymous namespace)::ShardedLRUCache::~ShardedLRUCache()
  0.01     95.87     0.01                             leveldb::InternalFilterPolicy::CreateFilter(leveldb::Slice const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*) const
  0.01     95.88     0.01                             leveldb::InternalKeyComparator::Name() const
  0.00     95.88     0.00  4476838     0.00     0.00  leveldb::(anonymous namespace)::PosixMmapReadableFile::Read(unsigned long, unsigned long, leveldb::Slice*, char*) const
  0.00     95.88     0.00  3721641     0.00     0.00  leveldb::Hash(char const*, unsigned long, unsigned int)
  0.00     95.88     0.00  3709277     0.00     0.00  leveldb::EncodeFixed64(char*, unsigned long)
  0.00     95.88     0.00  2754145     0.00     0.00  leveldb::Block::Iter::Valid() const
  0.00     95.88     0.00  2739666     0.00     0.00  leveldb::Iterator::Iterator()
  0.00     95.88     0.00  2715918     0.00     0.00  leveldb::Block::~Block()
  0.00     95.88     0.00  2705324     0.00     0.00  leveldb::Block::Iter::~Iter()
  0.00     95.88     0.00  1797932     0.00     0.00  leveldb::(anonymous namespace)::LRUCache::FinishErase(leveldb::(anonymous namespace)::LRUHandle*)
  0.00     95.88     0.00  1776114     0.00     0.00  unsigned int ReadVarInt<CDataStream, unsigned int>(CDataStream&)
  0.00     95.88     0.00  1774836     0.00     0.00  memory_cleanse(void*, unsigned long)
  0.00     95.88     0.00  1763904     0.00     0.00  leveldb::BytewiseComparator()
  0.00     95.88     0.00  1761296     0.00     0.00  leveldb::port::InitOnce(int*, void (*)())
  0.00     95.88     0.00   962119     0.00     0.00  leveldb::RandomAccessFile::~RandomAccessFile()
  0.00     95.88     0.00   960735     0.00     0.00  leveldb::FilterBlockReader::KeyMayMatch(unsigned long, leveldb::Slice const&)
  0.00     95.88     0.00   935132     0.00     0.00  leveldb::(anonymous namespace)::PosixEnv::StartThread(void (*)(void*), void*)
  0.00     95.88     0.00   931041     0.00     0.00  leveldb::FilterBlockReader::FilterBlockReader(leveldb::FilterPolicy const*, leveldb::Slice const&)
  0.00     95.88     0.00   901441     0.00     0.00  leveldb::(anonymous namespace)::ShardedLRUCache::Release(leveldb::Cache::Handle*)
  0.00     95.88     0.00   900852     0.00     0.00  leveldb::NewDBIterator(leveldb::DBImpl*, leveldb::Comparator const*, leveldb::Iterator*, unsigned long, unsigned int)
  0.00     95.88     0.00   892691     0.00     0.00  leveldb::LookupKey::LookupKey(leveldb::Slice const&, unsigned long)
  0.00     95.88     0.00   888607     0.00     0.00  leveldb::SkipList<char const*, leveldb::MemTable::KeyComparator>::FindGreaterOrEqual(char const* const&, leveldb::SkipList<char const*, leveldb::MemTable::KeyComparator>::Node**) const
  0.00     95.88     0.00   886682     0.00     0.00  leveldb::MemTable::Get(leveldb::LookupKey const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, leveldb::Status*)
  0.00     95.88     0.00   885588     0.00     0.00  leveldb::Version::Unref()
  0.00     95.88     0.00   884876     0.00     0.00  std::vector<leveldb::FileMetaData*, std::allocator<leveldb::FileMetaData*> >::reserve(unsigned long)
  0.00     95.88     0.00   884509     0.00     0.00  leveldb::DeleteBlock(void*, void*)
  0.00     95.88     0.00   884448     0.00     0.00  CTxOutCompressor::DecompressAmount(unsigned long)
  0.00     95.88     0.00   884214     0.00     0.08  leveldb::TableCache::FindTable(unsigned long, unsigned long, leveldb::Cache::Handle**)
  0.00     95.88     0.00   884177     0.00     0.00  leveldb::Version::UpdateStats(leveldb::Version::GetStats const&)
  0.00     95.88     0.00   880661     0.00     0.00  leveldb::Version::Ref()
  0.00     95.88     0.00   880479     0.00     0.00  leveldb::Options::Options()
  0.00     95.88     0.00   880229     0.00     0.00  leveldb::Iterator::RegisterCleanup(void (*)(void*, void*), void*, void*)
  0.00     95.88     0.00   873848     0.00     0.00  leveldb::Env::Default()
  0.00     95.88     0.00   872192     0.00     0.00  leveldb::(anonymous namespace)::BloomFilterPolicy::Name() const
  0.00     95.88     0.00   871714     0.00     0.00  leveldb::(anonymous namespace)::ShardedLRUCache::NewId()
  0.00     95.88     0.00   850296     0.00     0.00  leveldb::TableFileName(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long)
  0.00     95.88     0.00   197525     0.00     0.00  secp256k1_fe_mul_inner
  0.00     95.88     0.00    66259     0.00     0.00  secp256k1_fe_sqr_inner
  0.00     95.88     0.00    41234     0.00     0.00  leveldb::PutVarint32(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned int)
  0.00     95.88     0.00    41227     0.00     0.00  leveldb::GetFileIterator(void*, leveldb::ReadOptions const&, leveldb::Slice const&)
  0.00     95.88     0.00    41225     0.00     0.00  leveldb::GetInternalKey(leveldb::Slice*, leveldb::InternalKey*)
  0.00     95.88     0.00    33279     0.00     0.00  secp256k1_fe_normalize_weak
  0.00     95.88     0.00    32768     0.00     0.00  secp256k1_fe_normalize
  0.00     95.88     0.00    20623     0.00     0.00  leveldb::GetVarint32(leveldb::Slice*, unsigned int*)
  0.00     95.88     0.00    20622     0.00     0.00  leveldb::ParseFileName(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, leveldb::FileType*)
  0.00     95.88     0.00    20618     0.00     0.00  leveldb::ConsumeDecimalNumber(leveldb::Slice*, unsigned long*)
  0.00     95.88     0.00    20613     0.00     0.00  leveldb::GetLengthPrefixedSlice(leveldb::Slice*, leveldb::Slice*)
  0.00     95.88     0.00    20613     0.00     0.00  leveldb::PutLengthPrefixedSlice(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, leveldb::Slice const&)
  0.00     95.88     0.00    20612     0.00     0.00  leveldb::PutVarint64(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00     95.88     0.00    20608     0.00     0.00  std::pair<std::_Rb_tree_iterator<unsigned long>, bool> std::_Rb_tree<unsigned long, unsigned long, std::_Identity<unsigned long>, std::less<unsigned long>, std::allocator<unsigned long> >::_M_insert_unique<unsigned long const&>(unsigned long const&)
  0.00     95.88     0.00    16384     0.00     0.00  secp256k1_ge_to_storage
  0.00     95.88     0.00    16383     0.00     0.00  secp256k1_fe_normalizes_to_zero_var
  0.00     95.88     0.00    16383     0.00     0.00  secp256k1_gej_add_ge_var
  0.00     95.88     0.00    10322     0.00     0.00  std::_Rb_tree<unsigned long, unsigned long, std::_Identity<unsigned long>, std::less<unsigned long>, std::allocator<unsigned long> >::_M_erase(std::_Rb_tree_node<unsigned long>*)
  0.00     95.88     0.00    10308     0.00     0.00  leveldb::GetLevel(leveldb::Slice*, int*)
  0.00     95.88     0.00     8994     0.00     0.00  void std::__sort<__gnu_cxx::__normal_iterator<leveldb::FileMetaData**, std::vector<leveldb::FileMetaData*, std::allocator<leveldb::FileMetaData*> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(leveldb::FileMetaData*, leveldb::FileMetaData*)> >(__gnu_cxx::__normal_iterator<leveldb::FileMetaData**, std::vector<leveldb::FileMetaData*, std::allocator<leveldb::FileMetaData*> > >, __gnu_cxx::__normal_iterator<leveldb::FileMetaData**, std::vector<leveldb::FileMetaData*, std::allocator<leveldb::FileMetaData*> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(leveldb::FileMetaData*, leveldb::FileMetaData*)>)
  0.00     95.88     0.00     8962     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<leveldb::FileMetaData**, std::vector<leveldb::FileMetaData*, std::allocator<leveldb::FileMetaData*> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(leveldb::FileMetaData*, leveldb::FileMetaData*)> >(__gnu_cxx::__normal_iterator<leveldb::FileMetaData**, std::vector<leveldb::FileMetaData*, std::allocator<leveldb::FileMetaData*> > >, __gnu_cxx::__normal_iterator<leveldb::FileMetaData**, std::vector<leveldb::FileMetaData*, std::allocator<leveldb::FileMetaData*> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(leveldb::FileMetaData*, leveldb::FileMetaData*)>)
  0.00     95.88     0.00     8960     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<leveldb::FileMetaData**, std::vector<leveldb::FileMetaData*, std::allocator<leveldb::FileMetaData*> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(leveldb::FileMetaData*, leveldb::FileMetaData*)> >(__gnu_cxx::__normal_iterator<leveldb::FileMetaData**, std::vector<leveldb::FileMetaData*, std::allocator<leveldb::FileMetaData*> > >, __gnu_cxx::__normal_iterator<leveldb::FileMetaData**, std::vector<leveldb::FileMetaData*, std::allocator<leveldb::FileMetaData*> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(leveldb::FileMetaData*, leveldb::FileMetaData*)>)
  0.00     95.88     0.00      384     0.00     0.00  secp256k1_fe_normalizes_to_zero
  0.00     95.88     0.00      236     0.00     0.00  HexDigit(char)
