Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     95.88     0.00       15     0.00     0.00  boost::shared_ptr<boost::signals2::optional_last_value<void> >::shared_ptr<boost::signals2::optional_last_value<void> >(boost::signals2::optional_last_value<void>*)
  0.00     95.88     0.00       14     0.00     0.00  std::_Rb_tree<leveldb::FileMetaData*, leveldb::FileMetaData*, std::_Identity<leveldb::FileMetaData*>, leveldb::VersionSet::Builder::BySmallestKey, std::allocator<leveldb::FileMetaData*> >::_M_erase(std::_Rb_tree_node<leveldb::FileMetaData*>*)
  0.00     95.88     0.00       13     0.00     0.00  secp256k1_der_parse_integer
  0.00     95.88     0.00       12     0.00     0.00  boost::date_time::period_formatter<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::~period_formatter()
  0.00     95.88     0.00       10     0.00     0.00  std::_Rb_tree<std::pair<int, unsigned long>, std::pair<int, unsigned long>, std::_Identity<std::pair<int, unsigned long> >, std::less<std::pair<int, unsigned long> >, std::allocator<std::pair<int, unsigned long> > >::_M_erase(std::_Rb_tree_node<std::pair<int, unsigned long> >*)
  0.00     95.88     0.00        8     0.00     0.00  boost::condition_variable::condition_variable()
  0.00     95.88     0.00        8     0.00     0.00  boost::date_time::period_formatter<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::period_formatter(boost::date_time::period_formatter<char, std::ostreambuf_iterator<char, std::char_traits<char> > > const&)
  0.00     95.88     0.00        8     0.00     0.00  boost::iterator_range<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > boost::algorithm::detail::first_finderF<char const*, boost::algorithm::is_equal>::operator()<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >) const
  0.00     95.88     0.00        8     0.00     0.00  std::__cxx11::_List_base<boost::shared_ptr<boost::signals2::detail::connection_body<std::pair<boost::signals2::detail::slot_meta_group, boost::optional<int> >, boost::signals2::slot<void (), boost::function<void ()> >, boost::signals2::mutex> >, std::allocator<boost::shared_ptr<boost::signals2::detail::connection_body<std::pair<boost::signals2::detail::slot_meta_group, boost::optional<int> >, boost::signals2::slot<void (), boost::function<void ()> >, boost::signals2::mutex> > > >::_M_clear()
  0.00     95.88     0.00        8     0.00     0.00  std::_Rb_tree<std::pair<boost::signals2::detail::slot_meta_group, boost::optional<int> >, std::pair<std::pair<boost::signals2::detail::slot_meta_group, boost::optional<int> > const, std::_List_iterator<boost::shared_ptr<boost::signals2::detail::connection_body<std::pair<boost::signals2::detail::slot_meta_group, boost::optional<int> >, boost::signals2::slot<void (), boost::function<void ()> >, boost::signals2::mutex> > > >, std::_Select1st<std::pair<std::pair<boost::signals2::detail::slot_meta_group, boost::optional<int> > const, std::_List_iterator<boost::shared_ptr<boost::signals2::detail::connection_body<std::pair<boost::signals2::detail::slot_meta_group, boost::optional<int> >, boost::signals2::slot<void (), boost::function<void ()> >, boost::signals2::mutex> > > > >, boost::signals2::detail::group_key_less<int, std::less<int> >, std::allocator<std::pair<std::pair<boost::signals2::detail::slot_meta_group, boost::optional<int> > const, std::_List_iterator<boost::shared_ptr<boost::signals2::detail::connection_body<std::pair<boost::signals2::detail::slot_meta_group, boost::optional<int> >, boost::signals2::slot<void (), boost::function<void ()> >, boost::signals2::mutex> > > > > >::_M_erase(std::_Rb_tree_node<std::pair<std::pair<boost::signals2::detail::slot_meta_group, boost::optional<int> > const, std::_List_iterator<boost::shared_ptr<boost::signals2::detail::connection_body<std::pair<boost::signals2::detail::slot_meta_group, boost::optional<int> >, boost::signals2::slot<void (), boost::function<void ()> >, boost::signals2::mutex> > > > >*)
  0.00     95.88     0.00        8     0.00     0.00  std::_Rb_tree<unsigned char, std::pair<unsigned char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<unsigned char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<unsigned char>, std::allocator<std::pair<unsigned char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_get_insert_unique_pos(unsigned char const&)
  0.00     95.88     0.00        6     0.00     0.00  leveldb::VersionEdit::Clear()
  0.00     95.88     0.00        6     0.00     0.00  void std::vector<std::pair<int, leveldb::InternalKey>, std::allocator<std::pair<int, leveldb::InternalKey> > >::_M_emplace_back_aux<std::pair<int, leveldb::InternalKey> >(std::pair<int, leveldb::InternalKey>&&)
  0.00     95.88     0.00        5     0.00     0.00  boost::unique_lock<boost::mutex>::lock()
  0.00     95.88     0.00        5     0.00     0.00  leveldb::Comparator::~Comparator()
  0.00     95.88     0.00        4     0.00     0.00  LogPrintStr(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     95.88     0.00        4     0.00     0.00  GetTimeMicros()
  0.00     95.88     0.00        4     0.00     0.00  GetLogTimeMicros()
